Month,open,high,low,Closing,volume,change,changePercent,vwap
2026-01-27,6965.96,6988.82,6958.83,6985.11,2166737000,19.15,0.27490827,6977.59
2026-01-26,6923.23,6964.66,6921.6,6950.22,4968050000,26.99,0.38985,6939.9275
2026-01-23,6907.85,6932.96,6895.5,6915.62,4871930000,7.77,0.11248,6912.9825
2026-01-22,6914.44,6934.75,6893.62,6913.36,5307580000,-1.08,-0.01561949,6914.0425
2026-01-21,6810.71,6910.39,6804.96,6875.61,5835520000,64.9,0.95291,6850.4175
2026-01-20,6865.24,6871.17,6789.05,6796.87,5769500000,-68.37,-0.99589,6830.5825
2026-01-16,6960.54,6967.3,6925.09,6940.0,5356550000,-20.54,-0.29509,6948.2325
2026-01-15,6969.46,6979.34,6937.93,6944.46,5114050000,-25.0,-0.35871,6957.7975
2026-01-14,6937.41,6941.3,6885.74,6926.59,5530830000,-10.82,-0.15597,6922.76
2026-01-13,6977.41,6985.83,6938.77,6963.75,5091730000,-13.66,-0.19577,6966.44
2026-01-12,6944.12,6986.33,6934.07,6977.26,5019040000,33.14,0.47724,6960.445
2026-01-09,6927.83,6978.36,6917.64,6966.29,5163900000,38.46,0.55515,6947.53
2026-01-08,6916.29,6931.28,6899.33,6921.45,5333200000,5.16,0.07460647,6917.0875
2026-01-07,6945.07,6965.69,6919.19,6920.92,5214480000,-24.15,-0.34773,6937.7175
2026-01-06,6908.03,6948.69,6904.02,6944.83,5509680000,36.8,0.53271,6926.3925
2026-01-05,6892.19,6920.38,6891.56,6902.04,5771930000,9.85,0.14292,6901.5425
2026-01-02,6878.11,6894.87,6824.31,6858.48,4184120000,-19.63,-0.2854,6863.9425
2025-12-31,6898.82,6901.42,6844.55,6845.49,3261830000,-53.33,-0.77303,6872.57
2025-12-30,6900.44,6913.25,6893.47,6896.25,3309930000,-4.19,-0.06072077,6900.8525
2025-12-29,6903.6,6920.21,6888.76,6905.73,3541750000,2.13,0.03085347,6904.575
2025-12-26,6936.02,6945.77,6921.6,6929.95,2586550000,-6.07,-0.08751417,6933.335
2025-12-24,6904.91,6937.32,6904.91,6932.04,1798270000,27.13,0.39291,6919.795
2025-12-23,6872.41,6910.88,6868.81,6909.78,3820560000,37.37,0.54377,6890.47
2025-12-22,6865.21,6882.03,6855.74,6878.48,4465030000,13.27,0.19329,6870.365
2025-12-19,6792.62,6840.02,6792.62,6834.49,8554470000,41.87,0.6164,6814.9375
2025-12-18,6778.06,6816.13,6758.5,6774.75,5101190000,-3.31,-0.04883403,6781.86
2025-12-17,6802.88,6812.26,6720.43,6721.42,5122120000,-81.46,-1.2,6764.2475
2025-12-16,6800.12,6819.27,6759.74,6800.25,4983180000,0.13,0.00191173,6794.845
2025-12-15,6860.19,6861.59,6801.49,6816.52,4975600000,-43.67,-0.63657,6834.9475
2025-12-12,6886.85,6899.85,6801.79,6827.42,4910160000,-59.43,-0.86295,6853.9775
2025-12-11,6861.3,6903.46,6833.45,6901.01,5021060000,39.71,0.57875,6874.805
2025-12-10,6833.49,6900.67,6824.69,6886.69,5526570000,53.2,0.77852,6861.385
